Badge_ID,Badge_Name,Category,Trigger_Type,Trigger_Value,Description,Badge_Image_URL,Badge_Points_Base,Badge_Points_Multiplier,Badge_Tier_Number
ACT-001,First Timer,Special,Career_Events_Attended,1,Attend your first event.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Ffirst_timer.svg?alt=media&token=4d2be775-5562-45a6-886f-27387e12f47c,10,,
ACT-003,Hat Trick,Participation,Events_In_7_Days,3,Attend 3 events in 7 days.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fhat_trick.svg?alt=media&token=7ac13f2e-b9ec-42cc-8265-ec240f73d370,,,
ACT-005,Fully Charged,Participation,Events_In_7_Days,5,Attend 5 events in 7 days.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Ffully_charged.jpg?alt=media&token=0df71281-ebbb-4776-8f53-d42682b22a3a,,,
ACT-SPR,Spartan Spirit,Special,manual,0,"Get approved for a ""Theme"" bonus.",https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fspartan_spirit.svg?alt=media&token=7f2f4a16-5d9f-4b03-aafa-b6889b58790e,,,
ACT-WK,Weekday Warrior,Participation,Weekday_Coverage,5,Attend an event on every weekday (M-F).,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fweekday_warrior.jpg?alt=media&token=af96750d-f578-4d72-917e-5980dd3c2a9a,,,
CAR-001,Spartan Veteran,Special,manual,0,"Participate in 4 different seasons (e.g., Fall '24, Winter '25, Spring '25, Fall '25).",https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fspartan_veteran.jpg?alt=media&token=d3210cba-023c-430c-b52a-d2c6a44662c1,,,
CAR-002,Hall of Famer,Career,AllTime_Placement_Reached,10,Reach the Top 10 on the All-Time leaderboard at any point.,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fhall_of_famer.png?alt=media&token=4510f7d7-d662-4830-8598-56559db7f88d,,,
CAR-003,Badge Collector,Career,career_badges,10,Earn 10 total badges (excluding this one).,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fbadge_collector.png?alt=media&token=56cfc164-e921-4ac9-99f8-1f37478c379d,,,
CAR-004,Loyalist,Career,Career_Events_Attended,50,Attend 50 total events (lifetime).,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Floyalist.png?alt=media&token=05f50db8-43a8-4df7-9d83-4bd2b4c95b6f,,,
CAR-005,Centurion,Career,Career_Events_Attended,100,Attend 100 total events (lifetime).,https://firebasestorage.googleapis.com/v0/b/the-spartan-cup.firebasestorage.app/o/badges%2Fcenturion.png?alt=media&token=48022891-b325-45e5-8a5c-e57e47af461e,,,
